0,1,2,3,4,target
1.4926,1.4918,1.4825,1.4672,1.4694,1.4775
1.4918,1.4825,1.4672,1.4694,1.4775,1.4746
1.4825,1.4672,1.4694,1.4775,1.4746,1.4898
1.4672,1.4694,1.4775,1.4746,1.4898,1.4773
1.4694,1.4775,1.4746,1.4898,1.4773,1.4754
1.4775,1.4746,1.4898,1.4773,1.4754,1.4653
1.4746,1.4898,1.4773,1.4754,1.4653,1.4727
1.4898,1.4773,1.4754,1.4653,1.4727,1.4706
1.4773,1.4754,1.4653,1.4727,1.4706,1.467
1.4754,1.4653,1.4727,1.4706,1.467,1.4617
1.4653,1.4727,1.4706,1.467,1.4617,1.4519
1.4727,1.4706,1.467,1.4617,1.4519,1.4498
1.4706,1.467,1.4617,1.4519,1.4498,1.4325
1.467,1.4617,1.4519,1.4498,1.4325,1.4234
1.4617,1.4519,1.4498,1.4325,1.4234,1.4127
1.4519,1.4498,1.4325,1.4234,1.4127,1.4131
1.4498,1.4325,1.4234,1.4127,1.4131,1.3998
1.4325,1.4234,1.4127,1.4131,1.3998,1.3997
1.4234,1.4127,1.4131,1.3998,1.3997,1.4215
1.4127,1.4131,1.3998,1.3997,1.4215,1.4243
1.4131,1.3998,1.3997,1.4215,1.4243,1.4129
1.3998,1.3997,1.4215,1.4243,1.4129,1.4326
1.3997,1.4215,1.4243,1.4129,1.4326,1.4348
1.4215,1.4243,1.4129,1.4326,1.4348,1.4475
1.4243,1.4129,1.4326,1.4348,1.4475,1.4776
1.4129,1.4326,1.4348,1.4475,1.4776,1.4648
1.4326,1.4348,1.4475,1.4776,1.4648,1.4621
1.4348,1.4475,1.4776,1.4648,1.4621,1.4608
1.4475,1.4776,1.4648,1.4621,1.4608,1.4612
1.4776,1.4648,1.4621,1.4608,1.4612,1.4435
1.4648,1.4621,1.4608,1.4612,1.4435,1.4093
1.4621,1.4608,1.4612,1.4435,1.4093,1.4008
1.4608,1.4612,1.4435,1.4093,1.4008,1.3818
1.4612,1.4435,1.4093,1.4008,1.3818,1.3805
1.4435,1.4093,1.4008,1.3818,1.3805,1.3498
1.4093,1.4008,1.3818,1.3805,1.3498,1.3588
1.4008,1.3818,1.3805,1.3498,1.3588,1.3653
1.3818,1.3805,1.3498,1.3588,1.3653,1.3605
1.3805,1.3498,1.3588,1.3653,1.3605,1.3413
1.3498,1.3588,1.3653,1.3605,1.3413,1.3578
1.3588,1.3653,1.3605,1.3413,1.3578,1.3619
1.3653,1.3605,1.3413,1.3578,1.3619,1.3499
1.3605,1.3413,1.3578,1.3619,1.3499,1.3454
1.3413,1.3578,1.3619,1.3499,1.3454,1.3403
1.3578,1.3619,1.3499,1.3454,1.3403,1.3343
1.3619,1.3499,1.3454,1.3403,1.3343,1.3063
1.3499,1.3454,1.3403,1.3343,1.3063,1.2853
1.3454,1.3403,1.3343,1.3063,1.2853,1.2934
1.3403,1.3343,1.3063,1.2853,1.2934,1.2582
1.3343,1.3063,1.2853,1.2934,1.2582,1.2493
1.3063,1.2853,1.2934,1.2582,1.2493,1.2681
1.2853,1.2934,1.2582,1.2493,1.2681,1.2964
1.2934,1.2582,1.2493,1.2681,1.2964,1.2914
1.2582,1.2493,1.2681,1.2964,1.2914,1.2742
1.2493,1.2681,1.2964,1.2914,1.2742,1.2642
1.2681,1.2964,1.2914,1.2742,1.2642,1.2981
1.2964,1.2914,1.2742,1.2642,1.2981,1.2954
1.2914,1.2742,1.2642,1.2981,1.2954,1.2714
1.2742,1.2642,1.2981,1.2954,1.2714,1.2762
1.2642,1.2981,1.2954,1.2714,1.2762,1.2748
1.2981,1.2954,1.2714,1.2762,1.2748,1.2522
1.2954,1.2714,1.2762,1.2748,1.2522,1.2505
1.2714,1.2762,1.2748,1.2522,1.2505,1.2769
1.2762,1.2748,1.2522,1.2505,1.2769,1.269
1.2748,1.2522,1.2505,1.2769,1.269,1.2649
1.2522,1.2505,1.2769,1.269,1.2649,1.2618
1.2505,1.2769,1.269,1.2649,1.2618,1.2488
1.2769,1.269,1.2649,1.2618,1.2488,1.2453
1.269,1.2649,1.2618,1.2488,1.2453,1.2577
1.2649,1.2618,1.2488,1.2453,1.2577,1.2954
1.2618,1.2488,1.2453,1.2577,1.2954,1.3064
1.2488,1.2453,1.2577,1.2954,1.3064,1.288
1.2453,1.2577,1.2954,1.3064,1.288,1.2903
1.2577,1.2954,1.3064,1.288,1.2903,1.27
1.2954,1.3064,1.288,1.2903,1.27,1.2609
1.3064,1.288,1.2903,1.27,1.2609,1.2713
1.288,1.2903,1.27,1.2609,1.2713,1.2716
1.2903,1.27,1.2609,1.2713,1.2716,1.2777
1.27,1.2609,1.2713,1.2716,1.2777,1.2715
1.2609,1.2713,1.2716,1.2777,1.2715,1.296
1.2713,1.2716,1.2777,1.2715,1.296,1.2926
1.2716,1.2777,1.2715,1.296,1.2926,1.3022
1.2777,1.2715,1.296,1.2926,1.3022,1.3352
1.2715,1.296,1.2926,1.3022,1.3352,1.3375
1.296,1.2926,1.3022,1.3352,1.3375,1.3688
1.2926,1.3022,1.3352,1.3375,1.3688,1.4003
1.3022,1.3352,1.3375,1.3688,1.4003,1.442
1.3352,1.3375,1.3688,1.4003,1.442,1.4247
1.3375,1.3688,1.4003,1.442,1.4247,1.3919
1.3688,1.4003,1.442,1.4247,1.3919,1.3943
1.4003,1.442,1.4247,1.3919,1.3943,1.3928
1.442,1.4247,1.3919,1.3943,1.3928,1.3993
1.4247,1.3919,1.3943,1.3928,1.3993,1.4059
1.3919,1.3943,1.3928,1.3993,1.4059,1.3926
1.3943,1.3928,1.3993,1.4059,1.3926,1.4056
1.3928,1.3993,1.4059,1.3926,1.4056,1.3936
1.3993,1.4059,1.3926,1.4056,1.3936,1.3851
1.4059,1.3926,1.4056,1.3936,1.3851,1.3634
1.3926,1.4056,1.3936,1.3851,1.3634,1.3536
1.4056,1.3936,1.3851,1.3634,1.3536,1.3645
1.3936,1.3851,1.3634,1.3536,1.3645,1.3701
1.3851,1.3634,1.3536,1.3645,1.3701,1.343
1.3634,1.3536,1.3645,1.3701,1.343,1.336
1.3536,1.3645,1.3701,1.343,1.336,1.3182
1.3645,1.3701,1.343,1.336,1.3182,1.319
1.3701,1.343,1.336,1.3182,1.319,1.3117
1.343,1.336,1.3182,1.319,1.3117,1.3288
1.336,1.3182,1.319,1.3117,1.3288,1.3068
1.3182,1.319,1.3117,1.3288,1.3068,1.2903
1.319,1.3117,1.3288,1.3068,1.2903,1.3023
1.3117,1.3288,1.3068,1.2903,1.3023,1.3001
1.3288,1.3068,1.2903,1.3023,1.3001,1.2985
1.3068,1.2903,1.3023,1.3001,1.2985,1.3188
1.2903,1.3023,1.3001,1.2985,1.3188,1.3159
1.3023,1.3001,1.2985,1.3188,1.3159,1.3165
1.3001,1.2985,1.3188,1.3159,1.3165,1.2953
1.2985,1.3188,1.3159,1.3165,1.2953,1.2805
1.3188,1.3159,1.3165,1.2953,1.2805,1.2843
1.3159,1.3165,1.2953,1.2805,1.2843,1.304
1.3165,1.2953,1.2805,1.2843,1.304,1.2848
1.2953,1.2805,1.2843,1.304,1.2848,1.2791
1.2805,1.2843,1.304,1.2848,1.2791,1.2925
1.2843,1.304,1.2848,1.2791,1.2925,1.3002
1.304,1.2848,1.2791,1.2925,1.3002,1.2913
1.2848,1.2791,1.2925,1.3002,1.2913,1.2905
1.2791,1.2925,1.3002,1.2913,1.2905,1.2861
1.2925,1.3002,1.2913,1.2905,1.2861,1.2887
1.3002,1.2913,1.2905,1.2861,1.2887,1.2802
1.2913,1.2905,1.2861,1.2887,1.2802,1.2582
1.2905,1.2861,1.2887,1.2802,1.2582,1.253
1.2861,1.2887,1.2802,1.2582,1.253,1.2673
1.2887,1.2802,1.2582,1.253,1.2673,1.2836
1.2802,1.2582,1.253,1.2673,1.2836,1.2693
1.2582,1.253,1.2673,1.2836,1.2693,1.2845
1.253,1.2673,1.2836,1.2693,1.2845,1.2723
1.2673,1.2836,1.2693,1.2845,1.2723,1.2743
1.2836,1.2693,1.2845,1.2723,1.2743,1.2676
1.2693,1.2845,1.2723,1.2743,1.2676,1.2577
1.2845,1.2723,1.2743,1.2676,1.2577,1.2561
1.2723,1.2743,1.2676,1.2577,1.2561,1.266
1.2743,1.2676,1.2577,1.2561,1.266,1.2539
1.2676,1.2577,1.2561,1.266,1.2539,1.2635
1.2577,1.2561,1.266,1.2539,1.2635,1.2611
1.2561,1.266,1.2539,1.2635,1.2611,1.2682
1.266,1.2539,1.2635,1.2611,1.2682,1.2836
1.2539,1.2635,1.2611,1.2682,1.2836,1.291
1.2635,1.2611,1.2682,1.2836,1.291,1.2914
1.2611,1.2682,1.2836,1.291,1.2914,1.2968
1.2682,1.2836,1.291,1.2914,1.2968,1.3016
1.2836,1.291,1.2914,1.2968,1.3016,1.3477
1.291,1.2914,1.2968,1.3016,1.3477,1.3664
1.2914,1.2968,1.3016,1.3477,1.3664,1.3566
1.2968,1.3016,1.3477,1.3664,1.3566,1.3631
1.3016,1.3477,1.3664,1.3566,1.3631,1.3467
1.3477,1.3664,1.3566,1.3631,1.3467,1.3582
1.3664,1.3566,1.3631,1.3467,1.3582,1.3526
1.3566,1.3631,1.3467,1.3582,1.3526,1.3298
1.3631,1.3467,1.3582,1.3526,1.3298,1.3198
1.3467,1.3582,1.3526,1.3298,1.3198,1.3249
1.3582,1.3526,1.3298,1.3198,1.3249,1.3248
1.3526,1.3298,1.3198,1.3249,1.3248,1.346
1.3298,1.3198,1.3249,1.3248,1.346,1.3487
1.3198,1.3249,1.3248,1.346,1.3487,1.3416
1.3249,1.3248,1.346,1.3487,1.3416,1.3271
1.3248,1.346,1.3487,1.3416,1.3271,1.3281
1.346,1.3487,1.3416,1.3271,1.3281,1.3168
1.3487,1.3416,1.3271,1.3281,1.3168,1.3175
1.3416,1.3271,1.3281,1.3168,1.3175,1.3369
1.3271,1.3281,1.3168,1.3175,1.3369,1.3259
1.3281,1.3168,1.3175,1.3369,1.3259,1.3226
1.3168,1.3175,1.3369,1.3259,1.3226,1.3185
1.3175,1.3369,1.3259,1.3226,1.3185,1.3025
1.3369,1.3259,1.3226,1.3185,1.3025,1.2922
1.3259,1.3226,1.3185,1.3025,1.2922,1.2946
1.3226,1.3185,1.3025,1.2922,1.2946,1.3005
1.3185,1.3025,1.2922,1.2946,1.3005,1.3143
1.3025,1.2922,1.2946,1.3005,1.3143,1.3241
1.2922,1.2946,1.3005,1.3143,1.3241,1.3034
1.2946,1.3005,1.3143,1.3241,1.3034,1.3148
1.3005,1.3143,1.3241,1.3034,1.3148,1.3271
1.3143,1.3241,1.3034,1.3148,1.3271,1.3229
1.3241,1.3034,1.3148,1.3271,1.3229,1.3263
1.3034,1.3148,1.3271,1.3229,1.3263,1.3406
1.3148,1.3271,1.3229,1.3263,1.3406,1.3329
1.3271,1.3229,1.3263,1.3406,1.3329,1.3334
1.3229,1.3263,1.3406,1.3329,1.3334,1.339
1.3263,1.3406,1.3329,1.3334,1.339,1.3627
1.3406,1.3329,1.3334,1.339,1.3627,1.3582
1.3329,1.3334,1.339,1.3627,1.3582,1.3647
1.3334,1.339,1.3627,1.3582,1.3647,1.3599
1.339,1.3627,1.3582,1.3647,1.3599,1.3639
1.3627,1.3582,1.3647,1.3599,1.3639,1.3489
1.3582,1.3647,1.3599,1.3639,1.3489,1.356
1.3647,1.3599,1.3639,1.3489,1.356,1.3632
1.3599,1.3639,1.3489,1.356,1.3632,1.378
1.3639,1.3489,1.356,1.3632,1.378,1.3889
1.3489,1.356,1.3632,1.378,1.3889,1.4001
1.356,1.3632,1.378,1.3889,1.4001,1.4014
1.3632,1.378,1.3889,1.4001,1.4014,1.3984
1.378,1.3889,1.4001,1.4014,1.3984,1.3825
1.3889,1.4001,1.4014,1.3984,1.3825,1.3942
1.4001,1.4014,1.3984,1.3825,1.3942,1.4137
1.4014,1.3984,1.3825,1.3942,1.4137,1.4158
1.3984,1.3825,1.3942,1.4137,1.4158,1.4303
1.3825,1.3942,1.4137,1.4158,1.4303,1.4162
1.3942,1.4137,1.4158,1.4303,1.4162,1.4181
1.4137,1.4158,1.4303,1.4162,1.4181,1.3963
1.4158,1.4303,1.4162,1.4181,1.3963,1.39
1.4303,1.4162,1.4181,1.3963,1.39,1.4063
1.4162,1.4181,1.3963,1.39,1.4063,1.3982
1.4181,1.3963,1.39,1.4063,1.3982,1.4107
1.3963,1.39,1.4063,1.3982,1.4107,1.3998
1.39,1.4063,1.3982,1.4107,1.3998,1.3801
1.4063,1.3982,1.4107,1.3998,1.3801,1.3836
1.3982,1.4107,1.3998,1.3801,1.3836,1.3942
1.4107,1.3998,1.3801,1.3836,1.3942,1.39
1.3998,1.3801,1.3836,1.3942,1.39,1.3945
1.3801,1.3836,1.3942,1.39,1.3945,1.3867
1.3836,1.3942,1.39,1.3945,1.3867,1.4077
1.3942,1.39,1.3945,1.3867,1.4077,1.3929
1.39,1.3945,1.3867,1.4077,1.3929,1.3986
1.3945,1.3867,1.4077,1.3929,1.3986,1.4068
1.3867,1.4077,1.3929,1.3986,1.4068,1.4082
1.4077,1.3929,1.3986,1.4068,1.4082,1.4032
1.3929,1.3986,1.4068,1.4082,1.4032,1.4142
1.3986,1.4068,1.4082,1.4032,1.4142,1.4002
1.4068,1.4082,1.4032,1.4142,1.4002,1.3977
1.4082,1.4032,1.4142,1.4002,1.3977,1.3983
1.4032,1.4142,1.4002,1.3977,1.3983,1.3923
1.4142,1.4002,1.3977,1.3983,1.3923,1.3882
